season,week_of_season,games,avg_total,within_season_dev,season_shape,deseason_level,cusum_pos,cusum_neg,regime_shift_flag,shift_direction,cusum_baseline,run_env_regime_state
2021,23,96,9.510416666666666,0.4324199196795764,0.30573919261045057,9.204677474056215,0.0,0.0,False,,9.05992517233531,9.108004212628058
2021,24,92,9.130434782608695,0.05243803562160565,0.22612191144663604,8.904312871162059,0.0,0.0,False,,9.05992517233531,9.075596190019038
2021,25,97,8.948453608247423,-0.12954313873966683,-0.2986210611864779,9.2470746694339,0.0,0.0,False,,9.05992517233531,9.102879030800784
2021,26,93,9.161290322580646,0.08329357559355621,-0.3766614359662288,9.537951758546875,0.22802658621156446,0.0,False,,9.05992517233531,9.172100661410532
2022,0,49,8.387755102040817,-0.18009243418094023,-0.11931923071235051,8.507074332753167,0.0,-0.30285083958214365,False,,9.05992517233531,9.066292588570484
2022,1,93,8.365591397849462,-0.20225613837229517,0.07055695666649726,8.295034441182965,0.0,-0.8177415707344888,False,,9.05992517233531,8.94358265255635
2022,2,95,7.5473684210526315,-1.0204791151691257,-0.42665442116079166,7.974022842213423,0.0,-1.653643900856376,True,DOWN,9.05992517233531,8.789322211104862
2022,3,95,8.48421052631579,-0.08363700990596712,-0.15644072043434618,8.640651246750137,0.0,0.0,False,,8.74424515254873,8.765668127728338
2022,4,91,7.802197802197802,-0.7656497340239552,-0.17419442182351044,7.976392224021312,0.0,-0.517852928527418,False,,8.74424515254873,8.640091502094686
2022,5,95,9.357894736842105,0.7900472006203483,-0.003466384765368128,9.361361121607473,0.36711596905874266,0.0,False,,8.74424515254873,8.75484808412776
2022,6,96,8.510416666666666,-0.057430869555091135,-0.43378094626827934,8.944197612934946,0.3170684294449586,0.0,False,,8.74424515254873,8.784974272931004
2022,7,95,9.326315789473684,0.7584682532519267,0.09853342722189466,9.227782362251789,0.5506056391480172,0.0,False,,8.74424515254873,8.855426627296595
2022,8,101,9.356435643564357,0.7885881073425995,-0.33797389846823966,9.694409542032597,1.2507700286318837,0.0,False,,8.74424515254873,8.98891181657198
2022,9,92,9.228260869565217,0.6604133333434596,0.04302056625331385,9.185240303311904,1.4417651793950572,0.0,False,,8.74424515254873,9.020148382600116
2022,10,97,8.711340206185566,0.14349266996380905,-0.05047407859414014,8.761814284779707,1.2093343116260336,0.0,False,,8.74424515254873,8.979046501574691
2022,11,94,8.76595744680851,0.1981099105867532,0.2091516149518403,8.55680583185667,0.7718949909339727,0.0,False,,8.74424515254873,8.91186649739688
2022,12,94,8.606382978723405,0.03853544250164731,-0.19307262812053166,8.799455606843937,0.5771054452291793,0.0,False,,8.74424515254873,8.893981521745385
2022,13,101,8.554455445544555,-0.013392090677202262,0.4234886123033853,8.13096683324117,0.0,-0.36327831930756105,False,,8.74424515254873,8.772583149590293
2022,14,96,8.708333333333334,0.14048579711157672,0.1708777553465776,8.537455577986757,0.0,-0.3200678938695347,False,,8.74424515254873,8.735173510075482
2022,15,51,9.823529411764707,1.2556818755429493,0.5746277824082213,9.248901629356485,0.25465647680775483,0.0,False,,8.74424515254873,8.816909495438058
2022,16,96,8.145833333333334,-0.4220142028884233,-0.06753971506245797,8.213373048395791,0.0,-0.2808721041529392,False,,8.74424515254873,8.720884683188597
2022,17,99,8.313131313131313,-0.25471622309044406,0.0056076515665758105,8.307523661564737,0.0,-0.46759359513693255,False,,8.74424515254873,8.655117462853854
2022,18,90,8.3,-0.2678475362217565,-0.08716690804491414,8.387166908044914,0.0,-0.5746718396407484,False,,8.74424515254873,8.612485569048996
2022,19,100,8.4,-0.16784753622175685,0.4412929590545964,7.958707040945404,0.0,-1.1102099512440748,False,,8.74424515254873,8.508467061597564
2022,20,93,8.505376344086022,-0.062471192135735265,0.1441901171249654,8.361186226961056,0.0,-1.243268876831749,False,,8.74424515254873,8.48503415284247
2022,21,91,8.384615384615385,-0.18323215160637218,0.11974650742546977,8.264868877189915,0.0,-1.4726451521905641,False,,8.74424515254873,8.450005068249494
2022,22,95,9.51578947368421,0.9479419374624527,0.38034331182528297,9.135446161858926,0.14120100931019586,-0.8314441428803683,False,,8.74424515254873,8.559061203375169
2022,23,96,7.583333333333333,-0.9845142028884242,0.30573919261045057,7.277594140722883,0.0,-2.048095154706216,True,DOWN,8.74424515254873,8.355175199972898
2022,24,98,9.020408163265307,0.4525606270435496,0.22612191144663604,8.79428625181867,0.3134580258648203,0.0,False,,8.23082822595385,8.425039342423272
2022,25,90,7.733333333333333,-0.8345142028884238,-0.2986210611864779,8.031954394519811,0.0,0.0,False,,8.23082822595385,8.362498118102025
2022,26,47,7.8936170212765955,-0.6742305149451617,-0.3766614359662288,8.270278457242824,0.0,0.0,False,,8.23082822595385,8.34782563947524
2023,0,50,8.42,-0.8090994137848515,-0.11931923071235051,8.539319230712351,0.05849100475850122,0.0,False,,8.23082822595385,8.378292956297004
2023,1,91,9.912087912087912,0.682988498303061,0.07055695666649726,9.841530955421415,1.4191937342260665,0.0,False,,8.23082822595385,8.611099367294681
2023,2,95,9.221052631578948,-0.008046782205903824,-0.42665442116079166,9.64770705273974,2.5860725610119566,0.0,True,UP,8.23082822595385,8.77602736602454
2023,3,95,8.705263157894738,-0.5238362558901137,-0.15644072043434618,8.861703878329084,0.0,0.0,False,,8.854179390409135,8.789658806260752
2023,4,94,9.340425531914894,0.11132611813004267,-0.17419442182351044,9.514619953738405,0.4104405633292707,0.0,False,,8.854179390409135,8.905002723626227
2023,5,93,9.516129032258064,0.2870296184732126,-0.003466384765368128,9.519595417023432,0.8258565899435677,0.0,False,,8.854179390409135,9.002786624304598
2023,6,92,8.304347826086957,-0.9247515876978945,-0.43378094626827934,8.738128772355235,0.45980597188966854,0.0,False,,8.854179390409135,8.960678611328202
2023,7,93,9.344086021505376,0.1149866077205246,0.09853342722189466,9.245552594283481,0.601179175764015,0.0,False,,8.854179390409135,9.006003083217339
2023,8,97,9.360824742268042,0.1317253284831903,-0.33797389846823966,9.698798640736282,1.1957984260911623,0.0,False,,8.854179390409135,9.116229339914904
2023,9,92,8.391304347826088,-0.8377950659587636,0.04302056625331385,8.348283781572775,0.4399028172548025,-0.25589560883635976,False,,8.854179390409135,8.994046448692684
2023,10,92,8.967391304347826,-0.26170810943702527,-0.05047407859414014,9.017865382941967,0.3535888097876345,0.0,False,,8.854179390409135,8.997836126516582
2023,11,93,9.505376344086022,0.2762769303011705,0.2091516149518403,9.296224729134181,0.545634148512681,0.0,False,,8.854179390409135,9.045310822840477
2023,12,91,9.043956043956044,-0.18514336982880764,-0.19307262812053166,9.237028672076576,0.6784834301801226,0.0,False,,8.854179390409135,9.075813819913789
2023,13,93,9.709677419354838,0.48057800556998664,0.4234886123033853,9.286188807051452,0.8604928468224404,0.0,False,,8.854179390409135,9.109285234508345
2023,14,96,9.010416666666666,-0.21868274711818536,0.1708777553465776,8.839538911320089,0.5958523677333947,0.0,False,,8.854179390409135,9.066367627516964
2023,15,46,9.91304347826087,0.6839440644760177,0.5746277824082213,9.338415695852648,0.8300886731769079,0.0,False,,8.854179390409135,9.109651450412475
2023,16,95,9.284210526315789,0.05511111253093759,-0.06753971506245797,9.351750241378246,1.0776595241460196,0.0,False,,8.854179390409135,9.14817023591787
2023,17,89,9.101123595505618,-0.12797581827923388,0.0056076515665758105,9.095515943939041,1.0689960776759264,0.0,False,,8.854179390409135,9.139792749311761
2023,18,95,9.221052631578948,-0.008046782205903824,-0.08716690804491414,9.308219539623861,1.2730362268906532,0.0,False,,8.854179390409135,9.166590055417727
2023,19,95,8.978947368421053,-0.250152045363798,0.4412929590545964,8.537654409366457,0.7065112458479756,-0.06652498104267757,False,,8.854179390409135,9.066524139556249
2023,20,90,9.477777777777778,0.24867836399292642,0.1441901171249654,9.333587660652812,0.9359195160916531,0.0,False,,8.854179390409135,9.109014903117677
2023,21,93,9.956989247311828,0.7278898335269766,0.11974650742546977,9.837242739886358,1.6689828655688768,0.0,True,UP,8.854179390409135,9.224878562459606
2023,22,94,9.329787234042554,0.1006878202577024,0.38034331182528297,8.94944392221727,0.0,-0.044551166923858077,False,,9.243995089141128,9.181055923833748
2023,23,92,10.01086956521739,0.7817701514325393,0.30573919261045057,9.70513037260694,0.21113528346581134,0.0,False,,9.243995089141128,9.264438047307497
2023,24,99,9.343434343434344,0.11433492964949288,0.22612191144663604,9.117312431987708,0.0,0.0,False,,9.243995089141128,9.241029834502115
2023,25,94,9.24468085106383,0.015581437278978427,-0.2986210611864779,9.543301912250307,0.049306823109178666,0.0,False,,9.243995089141128,9.28912240564056
2023,26,91,8.571428571428571,-0.6576708423562803,-0.3766614359662288,8.9480900073948,0.0,-0.045905081746328236,False,,9.243995089141128,9.234862928565036
2024,1,53,9.830188679245284,1.0420807607932936,0.07055695666649726,9.759631722578787,0.26563663343765853,0.0,False,,9.243995089141128,9.318355524855608
2024,2,88,8.352272727272727,-0.4358351911792635,-0.42665442116079166,8.778927148433517,0.0,-0.21506794070761082,False,,9.243995089141128,9.232530536452986
2024,3,92,9.467391304347826,0.679283385895836,-0.15644072043434618,9.623832024782173,0.1298369356410447,0.0,False,,9.243995089141128,9.294788005962715
2024,4,95,8.157894736842104,-0.6302131816098857,-0.17419442182351044,8.332089158665616,0.0,-0.6619059304755126,False,,9.243995089141128,9.14161916832663
2024,5,95,8.557894736842105,-0.23021318160988535,-0.003466384765368128,8.561361121607472,0.0,-1.0945398980091685,False,,9.243995089141128,9.049298033015734
2024,6,93,8.075268817204302,-0.7128391012476882,-0.43378094626827934,8.509049763472582,0.0,-1.5794852236777146,True,DOWN,9.243995089141128,8.96334259667844
2024,7,92,8.728260869565217,-0.05984704888677328,0.09853342722189466,8.629727442343322,0.0,-0.047754380913371364,False,,8.927481823256693,8.910263229698039
2024,8,93,8.408602150537634,-0.3795057679143561,-0.33797389846823966,8.746576049005874,0.0,0.0,False,,8.927481823256693,8.884220012472902
2024,9,94,8.72340425531915,-0.06470366313284082,0.04302056625331385,8.680383689065835,0.0,0.0,False,,8.927481823256693,8.851788922717335
2024,10,94,8.404255319148936,-0.3838525993030544,-0.05047407859414014,8.454729397743076,0.0,-0.22275242551361707,False,,8.927481823256693,8.788615328936272
2024,11,91,9.087912087912088,0.29980416946009747,0.2091516149518403,8.878760472960247,0.0,-0.0214737758100636,False,,8.927481823256693,8.802957744497956
2024,12,93,8.67741935483871,-0.11068856361328017,-0.19307262812053166,8.870491982959242,0.0,0.0,False,,8.927481823256693,8.813702683930257
2024,13,91,9.0,0.21189208154800987,0.4234886123033853,8.576511387696614,0.0,-0.1009704355600789,False,,8.927481823256693,8.775964698428867
2024,14,96,8.989583333333334,0.2014754148813438,0.1708777553465776,8.818705577986757,0.0,0.0,False,,8.927481823256693,8.782764925581736
2024,15,93,9.365591397849462,0.5774834793974719,0.5746277824082213,8.79096361544124,0.0,0.0,False,,8.927481823256693,8.784069366528605
2024,16,95,8.936842105263159,0.14873418681116846,-0.06753971506245797,9.004381820325616,0.0,0.0,False,,8.927481823256693,8.81912186769196
2024,17,44,8.431818181818182,-0.3562897366338085,0.0056076515665758105,8.426210530251605,0.0,-0.25127129300508777,False,,8.927481823256693,8.756608265417743
2024,18,96,8.802083333333334,0.013975414881343795,-0.08716690804491414,8.889250241378248,0.0,-0.03950287488353332,False,,8.927481823256693,8.77771207928089
2024,19,91,9.89010989010989,1.1020019716579004,0.4412929590545964,9.448816931055294,0.2713351077986008,0.0,False,,8.927481823256693,8.884487266938823
2024,20,93,9.559139784946236,0.7710318664942459,0.1441901171249654,9.41494966782127,0.5088029523631779,0.0,False,,8.927481823256693,8.968885736492341
2024,21,92,8.206521739130435,-0.5815861793215547,0.11974650742546977,8.086775231704966,0.0,-0.5907065915517276,False,,8.927481823256693,8.828538793038314
2024,22,95,8.757894736842106,-0.030213181609884288,0.38034331182528297,8.377551425016822,0.0,-0.8906369897915987,False,,8.927481823256693,8.756785086110803
2024,23,98,9.39795918367347,0.6098512652214794,0.30573919261045057,9.092219991063018,0.0,-0.47589882198527356,False,,8.927481823256693,8.810153981937729
2024,24,93,8.516129032258064,-0.2719788861939261,0.22612191144663604,8.290007120811428,0.0,-0.8633735244305392,False,,8.927481823256693,8.727396751738006
2024,25,92,8.358695652173912,-0.42941226627807794,-0.2986210611864779,8.657316713360391,0.0,-0.8835386343268414,False,,8.927481823256693,8.71624676641297
2024,26,97,8.43298969072165,-0.3551182277303404,-0.3766614359662288,8.809651126687879,0.0,-0.7513693308956562,False,,8.927481823256693,8.731107734963642
2024,27,86,8.162790697674419,-0.6253172207775712,-0.6986297511408006,8.86142044881522,0.0,-0.567430705337129,False,,8.927481823256693,8.751840954875444
2025,1,51,8.313725490196079,-0.5804390135301727,0.07055695666649726,8.243168533529582,0.0,-1.0017439950642402,False,,8.927481823256693,8.670909349177744
2025,2,90,9.322222222222223,0.4280577184959711,-0.42665442116079166,9.748876643383014,0.5713948201263204,0.0,False,,8.927481823256693,8.842417809925056
2025,3,91,7.956043956043956,-0.9381205476822956,-0.15644072043434618,8.112484676478303,0.0,-0.5649971467783903,False,,8.927481823256693,8.72628283176859
