market,name,book_group,line_bucket,tau,n,roi,sharpe,roi_p,mean_edge,roi_fdr_survive,season_sign_consistent
alternate_totals,alternate_totals|pinnacle|low|tau0.04,pinnacle,low,0.04,4338,-0.0035433347353902678,-0.003228550033715627,0.584197515363406,-0.015849028845729866,False,False
alternate_totals,alternate_totals|pinnacle|low|tau0.06,pinnacle,low,0.06,3077,0.011695296313550808,0.010491857951478199,0.28028642502508105,-0.02014202311462688,False,False
alternate_totals,alternate_totals|pinnacle|low|tau0.08,pinnacle,low,0.08,2112,-0.0051473878815764375,-0.004706876329517452,0.5856275535488328,-0.017607669399671295,False,False
alternate_totals,alternate_totals|pinnacle|mid|tau0.02,pinnacle,mid,0.02,5301,-0.0007255702079266029,-0.0007574370805713398,0.5219895044581396,-0.013065643682933118,False,False
alternate_totals,alternate_totals|pinnacle|mid|tau0.03,pinnacle,mid,0.03,5035,0.001223613287629017,0.0012264631584207528,0.4653250068593471,-0.014516182216719187,False,False
alternate_totals,alternate_totals|pinnacle|mid|tau0.04,pinnacle,mid,0.04,4455,0.004583808455959647,0.004538299238684182,0.3809783290783319,-0.017492136934274635,False,False
alternate_totals,alternate_totals|pinnacle|mid|tau0.06,pinnacle,mid,0.06,3339,-0.007075859013200844,-0.006953660885854692,0.6560884012125981,-0.022760855732054903,False,False
alternate_totals,alternate_totals|pinnacle|mid|tau0.08,pinnacle,mid,0.08,2455,0.008071215500028846,0.007839374734957237,0.3488507736209193,-0.02294667168091713,False,False
alternate_totals,alternate_totals|pinnacle|high|tau0.02,pinnacle,high,0.02,4158,-0.02346412533358289,-0.02090381200556174,0.9111597478081549,-9.838328325064481e-06,False,True
alternate_totals,alternate_totals|pinnacle|high|tau0.03,pinnacle,high,0.03,3534,-0.022996798933285212,-0.02061494178366255,0.8898076545248221,-0.0007115108472467071,False,True
alternate_totals,alternate_totals|pinnacle|high|tau0.04,pinnacle,high,0.04,2962,-0.019350539474382523,-0.01750844960847884,0.8296756778721657,-0.0005595486266754915,False,True
alternate_totals,alternate_totals|pinnacle|high|tau0.06,pinnacle,high,0.06,2146,-0.021525311913382313,-0.019345273754885654,0.8149186469877326,0.0019540440377523813,False,False
alternate_totals,alternate_totals|pinnacle|high|tau0.08,pinnacle,high,0.08,1574,-0.018109114113784262,-0.01584604354323657,0.735217662806007,0.010825968065725602,False,False
alternate_totals,alternate_totals|soft|all|tau0.02,soft,all,0.02,5394,-0.04114366564812213,-0.056863711448531425,0.9999851849142793,-0.007817295712449743,False,True
alternate_totals,alternate_totals|soft|all|tau0.03,soft,all,0.03,5394,-0.041035750926982896,-0.05357309615982092,0.9999583348779018,-0.00993178088429831,False,True
alternate_totals,alternate_totals|soft|all|tau0.04,soft,all,0.04,5394,-0.04201778528317542,-0.05096586808593449,0.9999091288868832,-0.012499172040501518,False,True
alternate_totals,alternate_totals|soft|all|tau0.06,soft,all,0.06,4964,-0.041837880933440534,-0.04366279390944204,0.9989520339305957,-0.01785856144231164,False,False
alternate_totals,alternate_totals|soft|all|tau0.08,soft,all,0.08,3642,-0.023693008176694938,-0.023242866746853462,0.9196443679753781,-0.02616914474124473,False,False
alternate_totals,alternate_totals|soft|low|tau0.02,soft,low,0.02,5394,-0.04746203665726176,-0.04922439735353324,0.9998499592008967,-0.012958107338925526,False,True
alternate_totals,alternate_totals|soft|low|tau0.03,soft,low,0.03,5394,-0.050443472014405244,-0.04873884210837047,0.9998279189908121,-0.016763969391846347,False,True
alternate_totals,alternate_totals|soft|low|tau0.04,soft,low,0.04,5393,-0.050472711737889475,-0.04609316551081413,0.9996440387102706,-0.020292971239973062,False,True
alternate_totals,alternate_totals|soft|low|tau0.06,soft,low,0.06,4900,-0.04351723335655203,-0.037233879544774626,0.995424643299989,-0.02677818648017723,False,False
alternate_totals,alternate_totals|soft|low|tau0.08,soft,low,0.08,3555,-0.016524958837368018,-0.01346946701517132,0.7890418452003662,-0.03717912813130462,False,False
alternate_totals,alternate_totals|soft|mid|tau0.02,soft,mid,0.02,5394,-0.03593412332563962,-0.039581763422780705,0.9981756517795577,-0.009585025262150187,False,False
alternate_totals,alternate_totals|soft|mid|tau0.03,soft,mid,0.03,5387,-0.03134842545314163,-0.03281067090522057,0.9919838206566142,-0.010839180459755814,False,False
alternate_totals,alternate_totals|soft|mid|tau0.04,soft,mid,0.04,5178,-0.03128567543670919,-0.03150146484788786,0.9882985486004975,-0.012763489377394965,False,False
alternate_totals,alternate_totals|soft|mid|tau0.06,soft,mid,0.06,4047,-0.027726143444704417,-0.027246190527890953,0.9584783425987841,-0.018082225606939124,False,False
alternate_totals,alternate_totals|soft|mid|tau0.08,soft,mid,0.08,3004,-0.01722761654237438,-0.01665419174779172,0.8193249662634605,-0.022418244442394004,False,False
alternate_totals,alternate_totals|soft|high|tau0.02,soft,high,0.02,5389,-0.03307911674581156,-0.03273639364024094,0.9918732384074019,-0.0021213836955420147,False,True
alternate_totals,alternate_totals|soft|high|tau0.03,soft,high,0.03,5161,-0.03231119301738362,-0.030971765880034658,0.986959876512093,-0.002761148770998221,False,True
alternate_totals,alternate_totals|soft|high|tau0.04,soft,high,0.04,4551,-0.03267757717183524,-0.031215903272297982,0.9823917063407457,-0.0037021545700752136,False,True
alternate_totals,alternate_totals|soft|high|tau0.06,soft,high,0.06,3285,-0.02798280090836442,-0.02656813198622473,0.9360894116297896,-0.005624645526608294,False,True
alternate_totals,alternate_totals|soft|high|tau0.08,soft,high,0.08,2349,-0.03302760194385448,-0.03072468524202798,0.9317717773532478,-0.0027644709033933803,False,True
alternate_totals,alternate_totals|majors|all|tau0.02,majors,all,0.02,5392,-0.040648034698016845,-0.055256804176201484,0.9999752017502118,-0.007157715575210799,False,True
alternate_totals,alternate_totals|majors|all|tau0.03,majors,all,0.03,5392,-0.04212872271931731,-0.05406313961801931,0.9999640439605945,-0.008929793524168178,False,True
alternate_totals,alternate_totals|majors|all|tau0.04,majors,all,0.04,5390,-0.04350205260939126,-0.05142174173447579,0.9999200636805182,-0.011164068506592212,False,True
alternate_totals,alternate_totals|majors|all|tau0.06,majors,all,0.06,4761,-0.036197126676565446,-0.036463210933606945,0.9940645934485013,-0.016978598875562648,False,False
alternate_totals,alternate_totals|majors|all|tau0.08,majors,all,0.08,3362,-0.01687896201177473,-0.015920527342414427,0.8220266351642184,-0.024423291734035513,False,False
alternate_totals,alternate_totals|majors|low|tau0.02,majors,low,0.02,5392,-0.05037696259666688,-0.0504407029974291,0.9998938336531077,-0.01393469857104235,False,True
alternate_totals,alternate_totals|majors|low|tau0.03,majors,low,0.03,5392,-0.052929276635733824,-0.049326595499336934,0.9998538689346887,-0.017303125336468637,False,True
alternate_totals,alternate_totals|majors|low|tau0.04,majors,low,0.04,5386,-0.05434315344700735,-0.047854380047644876,0.9997776284474041,-0.020511849326389785,False,True
alternate_totals,alternate_totals|majors|low|tau0.06,majors,low,0.06,4671,-0.041164137318075326,-0.03375240607202308,0.9894669736213344,-0.028157040331334662,False,False
alternate_totals,alternate_totals|majors|low|tau0.08,majors,low,0.08,3263,-0.011884139973103025,-0.009296906361730613,0.7023128406779007,-0.03846094011403639,False,False
alternate_totals,alternate_totals|majors|mid|tau0.02,majors,mid,0.02,5391,-0.03781967450143439,-0.04123314252976484,0.9987669846740693,-0.009109378296715482,False,False
alternate_totals,alternate_totals|majors|mid|tau0.03,majors,mid,0.03,5360,-0.032540656363970764,-0.033475361405839225,0.9928730209924161,-0.010422992843504966,False,False
alternate_totals,alternate_totals|majors|mid|tau0.04,majors,mid,0.04,5011,-0.027075702259275733,-0.0268848127224958,0.9714884255620841,-0.012446861220800274,False,False
alternate_totals,alternate_totals|majors|mid|tau0.06,majors,mid,0.06,3837,-0.02783130900555589,-0.027130136962102213,0.9535734866266298,-0.01714084368930571,False,False
alternate_totals,alternate_totals|majors|mid|tau0.08,majors,mid,0.08,2798,-0.010075524565340435,-0.009663410867893692,0.6953794321026112,-0.020141203205467056,False,False
alternate_totals,alternate_totals|majors|high|tau0.02,majors,high,0.02,5378,-0.02906510173654248,-0.027636732707219756,0.9786552704435875,-0.0015558290251289314,False,True
alternate_totals,alternate_totals|majors|high|tau0.03,majors,high,0.03,5045,-0.03088895893578028,-0.028610128218436538,0.9789294915145774,-0.0020356138304897394,False,True
alternate_totals,alternate_totals|majors|high|tau0.04,majors,high,0.04,4418,-0.02780885904887754,-0.02582703398003535,0.9569804644381561,-0.002875528530828729,False,True
