relation,tau,book_group,n_games,n_quotes,roi,sharpe,roi_p,roi_fdr_survive,season_sign_consistent,is_control
team_total_to_game_total,0.75,majors,157,471,-0.08344018199105221,-0.09003659144068774,0.8703728219493868,False,False,False
team_total_to_game_total,0.85,all,57,285,-0.08289174555910975,-0.08904671465383021,0.7492998010843384,False,False,False
team_total_to_game_total,0.85,pinnacle,57,57,-0.05810397553516819,-0.060081322931933336,0.6749430776919284,False,False,False
team_total_to_game_total,0.85,soft,57,228,-0.08908868806509512,-0.09655664603640035,0.7669950982366728,False,False,False
team_total_to_game_total,0.85,majors,57,171,-0.08921599387969238,-0.09540025566083508,0.7643163465311994,False,False,False
team_total_to_game_total,0.9,all,18,90,-0.1716585164620444,-0.18012785619636654,0.7776312611392528,False,False,False
team_total_to_game_total,0.9,pinnacle,18,18,-0.14780835881753315,-0.15076305402781245,0.7387945403303312,False,False,False
team_total_to_game_total,0.9,soft,18,72,-0.17762105587317223,-0.18773384076106905,0.7871255528495735,False,False,False
team_total_to_game_total,0.9,majors,18,54,-0.17795221141256046,-0.18815982351159546,0.7876502021522692,False,False,False
team_total_to_game_total,0.95,all,2,10,-1.0,0.0,,False,True,False
team_total_to_game_total,0.95,pinnacle,2,2,-1.0,0.0,,False,True,False
team_total_to_game_total,0.95,soft,2,8,-1.0,0.0,,False,True,False
team_total_to_game_total,0.95,majors,2,6,-1.0,0.0,,False,True,False
team_total_to_game_total,0.975,all,1,5,-1.0,0.0,,False,False,False
team_total_to_game_total,0.975,pinnacle,1,1,-1.0,0.0,,False,False,False
team_total_to_game_total,0.975,soft,1,4,-1.0,0.0,,False,False,False
team_total_to_game_total,0.975,majors,1,3,-1.0,0.0,,False,False,False
f5_to_full_control,0.75,all,172,860,-0.08758462478352641,-0.09524429837676786,0.8941889062247138,False,False,True
f5_to_full_control,0.75,pinnacle,172,172,-0.06358011521228932,-0.06614283748490818,0.8071536707733769,False,False,True
f5_to_full_control,0.75,soft,172,688,-0.09358575217633569,-0.10213857177497765,0.909801685100321,False,False,True
f5_to_full_control,0.75,majors,172,516,-0.09268225649734492,-0.10093935215423723,0.9072164566581578,False,False,True
f5_to_full_control,0.85,all,71,355,-0.14974683597858615,-0.16281767710263223,0.9149567829395844,False,False,True
f5_to_full_control,0.85,pinnacle,71,71,-0.13580565964594907,-0.14134126792031262,0.8831658844566479,False,False,True
f5_to_full_control,0.85,soft,71,284,-0.1532321300617454,-0.16626031120565235,0.9193831372079786,False,False,True
f5_to_full_control,0.85,majors,71,213,-0.1579945019973398,-0.17143641723651323,0.925707686497574,False,False,True
f5_to_full_control,0.9,all,33,165,-0.02907474500362584,-0.031521197212448664,0.5718458394606094,False,False,True
f5_to_full_control,0.9,pinnacle,33,33,-0.07033639143730884,-0.07227827885584333,0.661004849474331,False,False,True
f5_to_full_control,0.9,soft,33,132,-0.018759333395205097,-0.020312422594853163,0.546445551267611,False,False,True
f5_to_full_control,0.9,majors,33,99,-0.028310945128694927,-0.03058579187952174,0.569735967047172,False,False,True
f5_to_full_control,0.95,all,9,45,-0.3410127305258644,-0.4028805912373348,0.8865997498797301,False,False,True
f5_to_full_control,0.95,pinnacle,9,9,-0.5739041794087666,-0.6787687346226313,0.9791401913705929,False,False,True
f5_to_full_control,0.95,soft,9,36,-0.2827898683051388,-0.31554883905572123,0.8280905340385665,False,False,True
f5_to_full_control,0.95,majors,9,27,-0.3185088266752516,-0.3572406664456066,0.8580775416904141,False,False,True
f5_to_full_control,0.975,all,1,5,-1.0,0.0,,False,False,True
f5_to_full_control,0.975,pinnacle,1,1,-1.0,0.0,,False,False,True
f5_to_full_control,0.975,soft,1,4,-1.0,0.0,,False,False,True
f5_to_full_control,0.975,majors,1,3,-1.0,0.0,,False,False,True
