kind,market,book_group,season,n,n_brier,brier,log_loss,over_rate,implied_over_rate,calib_bias,calib_z,calib_p,mean_vig,mean_dist_to_sharp,line_mae,line_rmse,push_rate,n_line,calib_fdr_survive,favorite_rate,tie_rate,strategy,line_bucket,roi,sharpe,roi_p,roi_fdr_survive,season_sign_consistent
efficiency,totals_1st_1_innings,soft,2023,795,795.0,0.2200203621666215,0.63102905843748,0.36981132075471695,0.36181818297098595,0.007993137783731008,0.4668479586490418,0.6406086607564492,0.05936587596559752,0.013362921346078688,1.1817610062893082,1.4566049956002305,0.0,795.0,,,,,,,,,,
efficiency,totals_1st_1_innings,soft,2024,2347,2347.0,0.23066889553855305,0.6531348864447732,0.38005965061781,0.4110391134747195,-0.0309794628569095,-3.0919295787466528,0.0019886001881137,0.06329333267537583,0.014944108639070426,1.0636983383042182,1.3804820607556523,0.0,2347.0,,,,,,,,,,
efficiency,totals_1st_1_innings,soft,2025,4069,4069.0,0.23634880301106595,0.6648614503710015,0.43573359547800444,0.4392047737266304,-0.0034711782486259724,-0.4465479920288853,0.6552014538004232,0.06406984933010798,0.012417479552862471,1.1198083067092652,1.5740312393946687,0.0,4069.0,,,,,,,,,,
efficiency,totals_1st_1_innings,soft,2026,3608,3608.0,0.24888985438194214,0.6909352318507116,0.5013858093126385,0.483373675883753,0.018012133428885524,2.163864607784156,0.030474741889383632,0.06393363477921128,0.012897436961886312,1.1078159645232817,1.6396554718961076,0.0,3608.0,,,,,,,,,,
efficiency,totals_1st_1_innings,soft,pooled,10819,10819.0,0.23809908122872006,0.6685267804806962,0.4407061650799519,0.44213797039184216,-0.001431805311890244,-0.29997354164776346,0.7641973374885095,0.06351031466765512,0.01309517470402387,1.1081892966078195,1.548451844550056,0.0,10819.0,False,,,,,,,,,
efficiency,totals_1st_1_innings,majors,2024,771,771.0,0.2484004581057214,0.6899633493283291,0.44228274967574577,0.4833907270784515,-0.04110797740270572,-2.298244655822813,0.021547868413153527,0.062180636574072606,0.014610935145293524,0.9293125810635539,1.285835231994819,0.0,771.0,,,,,,,,,,
efficiency,totals_1st_1_innings,majors,2025,2234,2234.0,0.24840488331667288,0.689950815424473,0.4888093106535363,0.4876578312816028,0.0011514793719334948,0.1088770998973676,0.9132999702837505,0.06241416579565266,0.011572006815061512,1.0617726051924798,1.5805017165184088,0.0,2234.0,,,,,,,,,,
efficiency,totals_1st_1_innings,majors,2026,2640,2640.0,0.2491422932106636,0.6914417732189093,0.5037878787878788,0.4855238470816843,0.018264031706194506,1.8768997411057486,0.06053183637395842,0.062089159325971775,0.012559015698549052,1.1132575757575758,1.64983929428587,0.0,2640.0,,,,,,,,,,
efficiency,totals_1st_1_innings,majors,pooled,5645,5645.0,0.24874914377415594,0.690649804302628,0.4894596988485385,0.48607702426151167,0.003382674587026846,0.5084154145859386,0.6111620448253688,0.062230274190728706,0.012448603087370183,1.0677590788308238,1.5771424193160308,0.0,5645.0,False,,,,,,,,,
efficiency,totals_1st_1_innings,barstool,2023,170,170.0,0.2334078953754673,0.658562310313187,0.45294117647058824,0.4465345107205272,0.006406665750061047,0.16781029918238632,0.8667325198272539,0.05980899942154962,0.01190270751303308,1.1176470588235294,1.5117189281235646,0.0,170.0,,,,,,,,,,
efficiency,totals_1st_1_innings,barstool,pooled,170,170.0,0.2334078953754673,0.658562310313187,0.45294117647058824,0.4465345107205272,0.006406665750061047,0.16781029918238632,0.8667325198272539,0.05980899942154962,0.01190270751303308,1.1176470588235294,1.5117189281235646,0.0,170.0,False,,,,,,,,,
