relation,tau,book_group,n_games,n_quotes,roi,sharpe,roi_p,roi_fdr_survive,season_sign_consistent,is_control
team_total_to_game_total,0.75,pinnacle,23,23,0.7594464227626214,1.087018322104631,9.282695286209506e-08,False,False,False
team_total_to_game_total,0.75,soft,1342,22555,0.001991163546831013,0.0021855361525924275,0.46809339951545936,False,False,False
team_total_to_game_total,0.75,majors,1342,5191,0.03813901491331501,0.04065907544473612,0.0681809228559157,False,False,False
team_total_to_game_total,0.85,all,575,9836,0.09013482962883583,0.10290560421578744,0.006801306729062084,True,True,False
team_total_to_game_total,0.85,pinnacle,15,15,0.7416591180772893,1.0467624109949616,2.5164554731100527e-05,False,False,False
team_total_to_game_total,0.85,soft,575,9821,0.08984162907909497,0.10257665045519236,0.006952627484558999,True,True,False
team_total_to_game_total,0.85,majors,575,2236,0.16644439883392873,0.17988419983734488,8.035540346759004e-06,True,True,False
team_total_to_game_total,0.9,all,377,6521,0.0664781319101589,0.07715436089490775,0.06705795959608658,False,False,False
team_total_to_game_total,0.9,pinnacle,14,14,0.7210633407970957,0.9869489837164704,0.00011088834084631051,False,False,False
team_total_to_game_total,0.9,soft,377,6507,0.06602766152360796,0.07663980807733584,0.06836543896789113,False,False,False
team_total_to_game_total,0.9,majors,377,1465,0.17303538497892468,0.18550546944639026,0.00015797140362475975,True,False,False
team_total_to_game_total,0.95,all,157,2810,0.03743119159387557,0.04567412973653551,0.2835609987493701,False,False,False
team_total_to_game_total,0.95,pinnacle,9,9,0.5713256242668008,0.6407665852277933,0.027284025365035887,False,False,False
team_total_to_game_total,0.95,soft,157,2801,0.03688322772373082,0.045012704184406054,0.286374491228853,False,False,False
team_total_to_game_total,0.95,majors,157,606,0.24781233903332678,0.260044212709094,0.0005603210800567293,True,False,False
team_total_to_game_total,0.975,all,95,1694,0.013207085088666491,0.016280082836648505,0.43696104201934116,False,False,False
team_total_to_game_total,0.975,pinnacle,8,8,0.7677413273001509,1.0732040282422721,0.0012007682054178555,False,False,False
team_total_to_game_total,0.975,soft,95,1686,0.012301502692743037,0.01516842064091369,0.4412331485157568,False,False,False
team_total_to_game_total,0.975,majors,95,362,0.23559572744883892,0.24678768039576324,0.008077634602076897,True,False,False
f5_to_full_control,0.75,all,2269,35104,0.017406255245919332,0.01902150032695492,0.18244925469594225,False,False,True
f5_to_full_control,0.75,pinnacle,71,71,0.44137546731329286,0.48061821529948906,2.5634976661456037e-05,True,False,True
f5_to_full_control,0.75,soft,2269,35033,0.017358567542738682,0.018970208449580084,0.1830965258298472,False,False,True
f5_to_full_control,0.75,majors,2269,8085,0.0432399438365457,0.04624074360284746,0.013810328088311688,True,False,True
f5_to_full_control,0.85,all,1248,18741,0.06531600701543254,0.0722417629634374,0.005353974999606531,True,False,True
f5_to_full_control,0.85,pinnacle,63,63,0.4015870584206719,0.42792976246331366,0.0003411590800700164,True,False,True
f5_to_full_control,0.85,soft,1248,18678,0.06521936263850908,0.07214124659255897,0.0054087912671896415,True,False,True
f5_to_full_control,0.85,majors,1248,4280,0.11444035705163781,0.122160787930681,7.959238677822048e-06,True,False,True
f5_to_full_control,0.9,all,924,13957,0.07645122481288194,0.0855688461086345,0.004646705184327527,True,False,True
f5_to_full_control,0.9,pinnacle,55,55,0.45890881237276965,0.5023913939669593,9.733513175483286e-05,True,False,True
f5_to_full_control,0.9,soft,924,13902,0.0763254684929512,0.08543861372619405,0.004700604161169857,True,False,True
f5_to_full_control,0.9,majors,924,3153,0.14121612333471928,0.15098518071570932,2.2209901042527077e-06,True,False,True
f5_to_full_control,0.95,all,421,6102,0.08039442758439767,0.09289337296067843,0.028324281751006906,True,False,True
f5_to_full_control,0.95,pinnacle,45,45,0.39354650052532414,0.41509749739277235,0.002680031199991409,False,False,True
f5_to_full_control,0.95,soft,421,6057,0.08018746362000662,0.09267817502627665,0.02861191944343812,True,False,True
f5_to_full_control,0.95,majors,421,1332,0.2018909616585995,0.21389196181835454,5.701613396424781e-06,True,False,True
