config,book_group,line_bucket,tau,anchor,n_bets,roi_net_vig,sharpe,roi_2023,n_2023,roi_2024,n_2024,roi_2025,n_2025,roi_2026,n_2026
barstool|high_ge6p5|tau0.08|book,barstool,high_ge6p5,0.08,book,191,0.009,0.01184,0.009,191,,0,,0,,0
bovada|mid_5p5|tau0.08|pinnacle,bovada,mid_5p5,0.08,pinnacle,614,0.00891,0.00915,-0.01725,67,0.02393,258,0.10383,198,-0.22092,91
soft|high_ge6p5|tau0.08|book,soft,high_ge6p5,0.08,book,6169,0.00861,0.00954,-0.05052,1982,0.06537,2151,-0.01803,1463,0.06804,573
bovada|all|tau0.1|pinnacle,bovada,all,0.1,pinnacle,1891,0.00858,0.00885,-0.07566,205,0.01709,735,0.04326,694,-0.04224,257
betmgm|low_le4p5|tau0.08|book,betmgm,low_le4p5,0.08,book,1576,0.00858,0.00893,0.0509,317,-0.02148,484,0.02679,581,-0.04013,194
betonlineag|high_ge6p5|tau0.08|book,betonlineag,high_ge6p5,0.08,book,630,0.00825,0.00898,-0.07556,161,0.06449,217,0.00249,195,0.05059,57
pinnacle|low_le4p5|tau0.1|book,pinnacle,low_le4p5,0.1,book,1267,0.00814,0.0083,0.06747,260,-0.02995,385,0.02,464,-0.03151,158
draftkings|all|tau0.1|pinnacle,draftkings,all,0.1,pinnacle,2274,0.00783,0.00815,-0.00164,558,0.01432,765,0.02079,701,-0.02721,250
bovada|mid_5p5|tau0.08|book,bovada,mid_5p5,0.08,book,663,0.00756,0.00773,-0.00686,81,0.03945,260,0.09263,215,-0.22995,107
pinnacle|all|tau0.1|book,pinnacle,all,0.1,book,2413,0.00727,0.00756,0.00545,574,0.00123,776,0.03002,751,-0.02914,312
bovada|low_le4p5|tau0.1|book,bovada,low_le4p5,0.1,book,1042,0.00724,0.00741,0.08906,101,-0.00954,364,-0.01077,422,0.04234,155
pointsbetus|low_le4p5|tau0.06|book,pointsbetus,low_le4p5,0.06,book,589,0.00692,0.00732,-0.00139,453,0.03458,136,,0,,0
betonlineag|all|tau0.08|book,betonlineag,all,0.08,book,2822,0.00683,0.0071,-0.0186,542,-0.00542,986,0.03799,997,-0.01066,297
fanatics|high_ge6p5|tau0.1|book,fanatics,high_ge6p5,0.1,book,152,0.006,0.00664,,0,,0,-0.0126,117,0.0682,35
betrivers|all|tau0.08|book,betrivers,all,0.08,book,2584,0.00593,0.00531,0.00087,598,-0.02341,826,0.01708,819,0.05912,341
all|high_ge6p5|tau0.08|book,all,high_ge6p5,0.08,book,6826,0.00489,0.00541,-0.05548,2168,0.06288,2375,-0.02247,1630,0.06263,653
unibet_us|high_ge6p5|tau0.06|book,unibet_us,high_ge6p5,0.06,book,450,0.00465,0.0056,-0.03718,290,0.08046,160,,0,,0
majors|high_ge6p5|tau0.08|book,majors,high_ge6p5,0.08,book,2569,0.0037,0.00403,-0.07306,772,0.07166,917,-0.0307,619,0.07357,261
majors|low_le4p5|tau0.1|pinnacle,majors,low_le4p5,0.1,pinnacle,4040,0.00329,0.00339,0.0408,909,-0.03322,1420,0.0111,1346,0.02308,365
betrivers|all|tau0.1|pinnacle,betrivers,all,0.1,pinnacle,524,0.00307,0.00322,-0.0638,164,-0.04007,99,0.04365,128,0.07859,133
draftkings|all|tau0.08|book,draftkings,all,0.08,book,3204,0.00302,0.00316,-0.04578,740,0.00543,1027,0.03896,1024,-0.00461,413
all|low_le4p5|tau0.1|pinnacle,all,low_le4p5,0.1,pinnacle,9387,0.00297,0.00306,0.04431,2054,-0.03038,3076,-0.00083,3293,0.03434,964
all|mid_5p5|tau0.1|pinnacle,all,mid_5p5,0.1,pinnacle,4457,0.00296,0.00308,-0.02755,1234,-0.00219,1646,0.10997,1013,-0.10747,564
draftkings|high_ge6p5|tau0.1|pinnacle,draftkings,high_ge6p5,0.1,pinnacle,525,0.0027,0.00291,-0.05614,151,0.09245,188,-0.0614,133,0.01283,53
