signal,market,book_group,bucket,theta,anchor,n_games,n_quotes,clv_mean,clv_sharpe,clv_p,realized_roi,roi_fdr_survive,season_sign_consistent,is_control
continuation,totals,all,low,1,t50,159,570,-0.5087975441749027,-0.49230167713504464,0.9999999997311511,-0.11012776316045386,False,True,False
continuation,totals,all,low,1,t75,242,727,-0.051328217237308155,-0.1238938358849903,0.9730311009165449,0.005731354906071729,False,False,False
continuation,totals,all,mid,0.5,t50,2918,8519,-0.08939913182545123,-0.2618903219565391,1.0,0.0032986319878218944,False,True,False
continuation,totals,all,mid,0.5,t75,3157,10821,-0.061403230915426044,-0.21857941607067424,1.0,-0.006476080442016577,False,True,False
continuation,totals,all,mid,1,t50,340,1103,-0.1175280112044818,-0.28185010383799375,0.9999998987670089,-0.013293637210437402,False,True,False
continuation,totals,all,mid,1,t75,434,1417,-0.08774687294272547,-0.2797136328825184,0.9999999971814246,0.028240512126600555,False,True,False
continuation,totals,all,high,0.5,t50,860,2823,-0.18419296788482836,-0.2600018646028254,0.9999999999999878,-0.04737553403548581,False,True,False
continuation,totals,all,high,0.5,t75,889,3346,-0.07499196529005303,-0.16228744693968952,0.999999346804726,-0.017662573610479106,False,False,False
continuation,totals,all,high,1,t50,194,714,-0.3651755031909671,-0.2778256627793167,0.9999455072093182,-0.16081382272053502,False,True,False
continuation,totals,all,high,1,t75,235,812,-0.04017223910840932,-0.05482539194499768,0.799673995564907,-0.13705193552856113,False,False,False
continuation,totals,pinnacle,all,0.5,t50,2429,2429,-0.1288596130094689,-0.2586440424053544,1.0,0.0012577909084365293,False,True,False
continuation,totals,pinnacle,all,0.5,t75,2939,2939,-0.07128274923443348,-0.2086794234180378,1.0,-0.0024007637195236735,False,True,False
continuation,totals,pinnacle,all,1,t50,344,344,-0.29505813953488375,-0.32466101864545516,0.9999999991363061,-0.1333787153032897,False,False,False
continuation,totals,pinnacle,all,1,t75,439,439,-0.06264236902050115,-0.13309390810792815,0.9973534010497056,-0.031949820394165496,False,False,False
continuation,totals,pinnacle,low,0.5,t50,484,484,-0.1890495867768595,-0.3159268594035649,0.9999999999981786,-0.035649573176440276,False,True,False
continuation,totals,pinnacle,low,0.5,t75,635,635,-0.06220472440944882,-0.1953378693357618,0.9999995724647539,-0.03165032322865602,False,False,False
continuation,totals,pinnacle,low,1,t50,85,85,-0.5235294117647059,-0.467252226754199,0.9999917576440355,-0.2423426027762248,False,True,False
continuation,totals,pinnacle,low,1,t75,109,109,-0.03669724770642202,-0.0764987110374605,0.7877591040408651,-0.0156562711929031,False,False,False
continuation,totals,pinnacle,mid,0.5,t50,1470,1470,-0.10238095238095238,-0.27056237822342255,1.0,0.0393817617689109,False,True,False
continuation,totals,pinnacle,mid,0.5,t75,1775,1775,-0.08309859154929577,-0.26649237426260586,1.0,0.013472727560388944,False,True,False
continuation,totals,pinnacle,mid,1,t50,159,159,-0.14465408805031446,-0.3488115143009652,0.9999945460467627,-0.052262088336431874,False,False,False
continuation,totals,pinnacle,mid,1,t75,216,216,-0.11342592592592593,-0.3631794962569083,0.9999999529144542,-0.01726218533840348,False,True,False
continuation,totals,pinnacle,high,0.5,t50,475,475,-0.14947368421052631,-0.22122691200440686,0.9999992876891383,-0.07911920477117808,False,True,False
continuation,totals,pinnacle,high,0.5,t75,529,529,-0.04253308128544423,-0.09524540783692899,0.9857612315403264,-0.020551948471028158,False,False,False
continuation,totals,pinnacle,high,1,t50,100,100,-0.34,-0.28345265670494574,0.9977053179087042,-0.16973484782859877,False,False,False
continuation,totals,pinnacle,high,1,t75,114,114,0.008771929824561403,0.013188259001860885,0.44400920246633546,-0.0753579435080444,False,False,False
continuation,totals,soft,all,0.5,t50,4235,11755,-0.11864817001180637,-0.2578388845796905,1.0,-0.019112827978474734,False,True,False
continuation,totals,soft,all,0.5,t75,4697,15148,-0.06255056418990844,-0.20523182092083908,1.0,-0.016630333963008913,False,True,False
continuation,totals,soft,all,1,t50,645,2043,-0.2775193798449612,-0.30260076832671284,0.9999999999999923,-0.08062955375234941,False,True,False
continuation,totals,soft,all,1,t75,862,2517,-0.06591260634184068,-0.1378780049492903,0.9999741797752297,-0.029395846258916496,False,False,False
continuation,totals,soft,low,0.5,t50,908,2358,-0.16417033773861966,-0.30340970526477,1.0,-0.0394490783213317,False,True,False
continuation,totals,soft,low,0.5,t75,1079,3285,-0.06111368551127587,-0.21027743089443846,0.9999999999975289,-0.03275379340079874,False,False,False
continuation,totals,soft,low,1,t50,152,485,-0.521875,-0.4954634089082937,0.9999999994970876,-0.07025041182383565,False,True,False
continuation,totals,soft,low,1,t75,235,618,-0.04411347517730497,-0.10599755124429436,0.9479093116497014,0.012129140408466422,False,False,False
continuation,totals,soft,mid,0.5,t50,2802,7049,-0.08709255293837737,-0.25760664631887975,1.0,-0.0017793164310705239,False,True,False
continuation,totals,soft,mid,0.5,t75,3068,9046,-0.05749945675793134,-0.21099470453742727,1.0,-0.008636528034887776,False,True,False
continuation,totals,soft,mid,1,t50,328,944,-0.10452235772357724,-0.25321793435694806,0.9999977406024417,-0.01610296668793469,False,True,False
continuation,totals,soft,mid,1,t75,422,1201,-0.08428120063191152,-0.27299756573011263,0.999999989771437,0.01239597195846204,False,True,False
continuation,totals,soft,high,0.5,t50,817,2348,-0.18122195022439821,-0.2520668881121375,0.9999999999997096,-0.0512892101077479,False,True,False
continuation,totals,soft,high,0.5,t75,864,2817,-0.07242476851851852,-0.15458662520111047,0.9999972388598971,-0.017421260520351988,False,False,False
continuation,totals,soft,high,1,t50,186,614,-0.34457885304659497,-0.25959476250155594,0.9998002399039811,-0.18098955076858955,False,False,False
continuation,totals,soft,high,1,t75,231,698,-0.03466810966810967,-0.04695413068410051,0.7622754015809066,-0.14413320768999074,False,False,False
continuation,totals,majors,all,0.5,t50,3434,6258,-0.11318190642593672,-0.2311378416899981,1.0,-0.021770792401765972,False,True,False
continuation,totals,majors,all,0.5,t75,4117,8285,-0.05169621892964132,-0.1612524291250462,1.0,-0.015552926430005868,False,False,False
continuation,totals,majors,all,1,t50,545,1153,-0.258868501529052,-0.27675856824795164,0.9999999999479913,-0.1017788894397621,False,True,False
