pitcher_id,player_name,game_date,line_commence_date,game_year,bookmaker_key,over_price,under_price,pred_mean_k,line,is_integer_line,model_p_over,model_p_under,model_p_push,model_p_over_cond,model_p_under_cond,book_devig_over,book_devig_under,book_hold,devig_valid,edge_over,edge_under,ev_over,ev_under,best_side,best_edge,best_ev,pinnacle_devig_over_same_line,edge_vs_pinnacle,is_pinnacle
607192,Tyler Glasnow,2023-06-25,2023-06-25,2023,betonlineag,-103.0,-125.0,5.874,8.5,False,0.1429,0.8571,0.0,0.1429,0.8571,0.47734,0.52266,0.06294,True,-0.33444,0.33444,-0.71836,0.54278,under,0.33444,0.54278,0.48174,-0.33884,False
669923,George Kirby,2023-06-25,2023-06-25,2023,betrivers,-103.0,-130.0,6.8,4.5,False,0.8074,0.1926,0.0,0.8074,0.1926,0.47304,0.52696,0.07261,True,0.33436,-0.33436,0.59128,-0.65925,over,0.33436,0.59128,0.47881,0.32859,False
669923,George Kirby,2023-06-25,2023-06-25,2023,unibet_us,-103.0,-130.0,6.8,4.5,False,0.8074,0.1926,0.0,0.8074,0.1926,0.47304,0.52696,0.07261,True,0.33436,-0.33436,0.59128,-0.65925,over,0.33436,0.59128,0.47881,0.32859,False
669923,George Kirby,2023-06-25,2023-06-25,2023,barstool,-103.0,-130.0,6.8,4.5,False,0.8074,0.1926,0.0,0.8074,0.1926,0.47304,0.52696,0.07261,True,0.33436,-0.33436,0.59128,-0.65925,over,0.33436,0.59128,0.47881,0.32859,False
668881,Hunter Greene,2023-08-25,2023-08-26,2023,pinnacle,-128.0,-104.0,4.675,6.5,False,0.1901,0.8099,0.0,0.1901,0.8099,0.52408,0.47592,0.07121,True,-0.33398,0.33398,-0.66138,0.58865,under,0.33398,0.58865,0.52408,-0.33398,True
607192,Tyler Glasnow,2023-06-25,2023-06-25,2023,mybookieag,-102.0,-125.0,5.874,8.5,False,0.1429,0.8571,0.0,0.1429,0.8571,0.47614,0.52386,0.06051,True,-0.33324,0.33324,-0.717,0.54278,under,0.33324,0.54278,0.48174,-0.33884,False
572020,James Paxton,2024-04-01,2024-04-02,2024,betonlineag,-106.0,-122.0,3.495,5.5,False,0.1505,0.8495,0.0,0.1505,0.8495,0.48356,0.51644,0.06411,True,-0.33306,0.33306,-0.70752,0.54581,under,0.33306,0.54581,0.45988,-0.30938,False
672282,Reid Detmers,2023-09-05,2023-09-06,2023,williamhill_us,-183.0,123.0,4.225,5.5,False,0.2575,0.7425,0.0,0.2575,0.7425,0.5905,0.4095,0.09507,True,-0.333,0.333,-0.60179,0.65578,under,0.333,0.65578,0.59924,-0.34174,False
647336,Michael Soroka,2026-03-30,2026-03-31,2026,mybookieag,105.0,-145.0,3.281,5.5,False,0.1191,0.8809,0.0,0.1191,0.8809,0.45182,0.54818,0.07964,True,-0.33272,0.33272,-0.75584,0.48842,under,0.33272,0.48842,,,False
693433,Bryan Woo,2023-06-10,2023-06-11,2023,mybookieag,-123.0,-105.0,2.973,4.5,False,0.1859,0.8141,0.0,0.1859,0.8141,0.51851,0.48149,0.06376,True,-0.33261,0.33261,-0.66296,0.58943,under,0.33261,0.58943,0.498,-0.3121,False
695549,Jackson Jobe,2025-03-31,2025-04-01,2025,betmgm,-140.0,110.0,3.156,4.5,False,0.2187,0.7813,0.0,0.2187,0.7813,0.55056,0.44944,0.05952,True,-0.33186,0.33186,-0.62509,0.64073,under,0.33186,0.64073,0.54917,-0.33047,False
695549,Jackson Jobe,2025-03-31,2025-04-01,2025,draftkings,-140.0,110.0,3.156,4.5,False,0.2187,0.7813,0.0,0.2187,0.7813,0.55056,0.44944,0.05952,True,-0.33186,0.33186,-0.62509,0.64073,under,0.33186,0.64073,0.54917,-0.33047,False
