season,model,seasons_used,in_sample,n_obs,sigma,home_field,converged,tau_conference,tau_team,beta_returning_ppa_pct_z,tau_conf_off,tau_conf_def,tau_team_off,tau_team_def,beta_base,beta_off__returning_ppa_pct_z,beta_def__returning_ppa_pct_z,beta_prior_strength_z,beta_prior_strength_missing,beta_team_talent_z,beta_team_talent_missing,beta_roster_continuity_pct_z,beta_roster_continuity_pct_missing,beta_hc_change_from_prev_z,beta_hc_change_from_prev_missing,beta_is_first_year_at_school_z,beta_hc_recent_sp_overall_z,beta_hc_recent_sp_overall_missing,beta_off__prior_strength_z,beta_off__prior_strength_missing,beta_off__team_talent_z,beta_off__team_talent_missing,beta_off__roster_continuity_pct_z,beta_off__roster_continuity_pct_missing,beta_off__hc_change_from_prev_z,beta_off__hc_change_from_prev_missing,beta_off__is_first_year_at_school_z,beta_off__hc_recent_sp_overall_z,beta_off__hc_recent_sp_overall_missing,beta_def__prior_strength_z,beta_def__prior_strength_missing,beta_def__team_talent_z,beta_def__team_talent_missing,beta_def__roster_continuity_pct_z,beta_def__roster_continuity_pct_missing,beta_def__hc_change_from_prev_z,beta_def__hc_change_from_prev_missing,beta_def__is_first_year_at_school_z,beta_def__hc_recent_sp_overall_z,beta_def__hc_recent_sp_overall_missing,beta_portal_net_stars_z,beta_portal_net_stars_missing,beta_off__portal_net_stars_z,beta_off__portal_net_stars_missing,beta_def__portal_net_stars_z,beta_def__portal_net_stars_missing
2019,margin,"2015,2016,2017,2018",False,3072,8.62457103587218,2.4203260301546163,True,1.1590283857177317,7.2671446362202134,2.684029411933625,,,,,,,,6.647707014833331,,3.3292403494994236,,-0.326584799756998,,-0.13680075826975252,,-0.13680075826912824,1.7596590256071973,-4.109383781257736,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,points,"2015,2016,2017,2018",False,6144,6.334013354336523,2.425243245426594,False,,,,0.609329569007623,0.77360043023344,5.093294283753056,5.206038997608601,28.2323792968365,1.712413289177285,0.9732306737488976,,,,,,,,,,,,3.4550745909656486,,1.6402220951554103,,-0.8035122933513319,,-0.15328512844723544,,-0.15328512844890316,0.9438008600739527,-1.1403154286872401,3.187455324394679,,1.685754404977518,,0.47927054453406825,,0.02018733674283672,,0.020187336743666504,0.8138706243856759,-2.9837680894684833,,,,,,
2020,margin,"2016,2017,2018,2019",False,3081,8.403532378418834,2.5455705588602964,True,1.252547068152579,7.333605985469883,2.7211444897180463,,,,,,,,6.658272494498395,,3.413925736274471,,-0.3021758258411711,,-0.27204960535496053,,-0.27204960536424866,1.75220975419706,-4.568221623749484,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,points,"2016,2017,2018,2019",False,6162,6.185753037907794,2.550887953613562,False,,,,0.5695485021249337,0.7470615133306859,5.065011672390355,5.120261836270722,28.315733252207888,1.4271215297537738,1.301087517901989,,,,,,,,,,,,3.2055472187428706,,1.7997592879316855,,-0.5782259759972166,,-0.04539797028746033,,-0.04539797028573978,0.8428880312772119,-2.3452501788995757,3.44036161039488,,1.618997437559647,,0.2797062234537714,,-0.21936548467441783,,-0.21936548466961447,0.9026817278201571,-2.249649136999076,,,,,,
2021,margin,"2017,2018,2019,2020",False,2837,8.185934414340625,2.0948856538356337,True,2.4232211983478784,7.495477120727879,2.979542632752689,,,,,,,,6.415903506643043,,2.9115990153688416,,-0.18634143658712454,,-0.49336564332759103,,-0.4933656433311557,2.295073612277998,-3.2642968055518002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,points,"2017,2018,2019,2020",False,5674,6.093672443993019,2.1199662232994907,False,,,,0.6444959498166993,1.1481027398608394,5.048235270986987,5.102987445219081,28.1007763125534,1.558385149128368,1.4216577379408413,,,,,,,,,,,,2.4708812463146383,,2.019240771738799,,-0.2508812662900275,,-0.23486050245525592,,-0.23486050245626933,1.430971795123592,-1.228313418189201,3.9462536287111463,,0.9100193291012539,,0.09120530145031992,,-0.23695061552826452,,-0.23695061552635852,0.8336066986585391,-2.1808520410376646,,,,,,
2022,margin,"2018,2019,2020,2021",False,2831,8.35081902619024,1.8656653842981008,True,1.9336967615465308,7.602962321955346,2.2203310448202975,,,,,,,,6.490984653593272,,2.946287366580283,,0.0704358154636048,,-0.6406144701984656,,-0.6406144701973974,1.8960104158114903,-2.75901731275407,,,,,,,,,,,,,,,,,,,,,,,-0.3093201297101962,-15.983191223809104,,,,
2022,points,"2018,2019,2020,2021",False,5662,6.159389068473823,1.8893931072810306,True,,,,0.620823769582019,0.9222766322693732,4.921446749827426,4.947751497674377,27.07812066265272,1.0642204074155293,1.1454977240778927,,,,,,,,,,,,2.569855120127531,,1.868057773789558,,-0.16451799453905883,,-0.3142848815495265,,-0.31428488155415396,1.3885878907324565,-0.9181796058275266,3.8925084332005953,,1.0759974181288317,,0.2479980913811302,,-0.31123230883591607,,-0.31123230883314273,0.4906818688796606,-1.933535105676653,,,-0.1426647436722936,-7.389686268125688,-0.16197577924099135,-8.475297295302353
2023,margin,"2019,2020,2021,2022",False,2835,8.442141987700971,1.816556378188264,True,1.6536093899177948,7.270574756046467,1.892855600037445,,,,,,,,5.607811251281312,,3.467770366852817,,0.17051253524794216,,-0.5571337143240731,,-0.5571337143249999,2.381373962878035,-2.39223789600531,,,,,,,,,,,,,,,,,,,,,,,0.10284588641379648,-7.644759173834243,,,,
2023,points,"2019,2020,2021,2022",False,5670,6.169658656425317,1.8468192967467139,False,,,,0.9054579389635268,1.029601738212186,4.839010555177077,4.48713380361531,27.140368902433554,1.0698626357137033,0.8146538932233499,,,,,,,,,,,,2.2842297589729914,,2.3962951257940377,,0.08661864495614702,,-0.27750273153791616,,-0.27750273153615834,1.2549433985868061,-0.930074076954402,3.2547172475580135,,1.0270648149521955,,0.08438254783642225,,-0.27375132203364466,,-0.2737513220346877,1.1542960984108719,-1.4163532344409009,,,0.017898787331700763,-3.170734866725798,0.1023799492278317,-4.250746870892401
2024,margin,"2020,2021,2022,2023",False,2853,8.678886695533325,1.990663224468168,True,1.251736636240018,6.668333870768088,1.7267359817812893,,,,,,,,4.8996052910592995,,3.3207092375097487,,-0.01818086239346959,,-0.5492726814286475,,-0.549272681434527,3.074952322152476,-1.8537132838181036,,,,,,,,,,,,,,,,,,,,,,,-0.036526889302706866,-6.7243876258986575,,,,
2024,points,"2020,2021,2022,2023",False,5706,6.2492460991969745,2.0145705637928666,True,,,,1.0161116542413813,0.7933390982488591,4.617650048257609,4.104504332827524,26.813019677777152,0.9704709332269247,0.7615110128923311,,,,,,,,,,,,1.7544911461906612,,2.6067140937722777,,-0.3575192021630103,,-0.3563487846545278,,-0.3563487846559337,1.7201619203273149,-0.2913577395326662,3.0870033822352703,,0.6856225818230322,,0.3468322134959993,,-0.19094479345489077,,-0.19094479345408413,1.3726387807237013,-1.5518048748129627,,,0.015613448785384284,-2.388509488163215,-0.03417671411301681,-3.8983566823919262
2025,margin,"2021,2022,2023,2024",False,3135,8.201725556906847,2.561135635393012,True,1.0545413391332936,6.934312823206745,1.2245018894070454,,,,,,,,4.542904234228383,,2.95798275677573,,-0.054262409298463286,,-0.47519536331545564,,-0.47519536332207896,3.468369503355009,-2.6981061835847915,,,,,,,,,,,,,,,,,,,,,,,0.11930810913322402,,,,,
2025,points,"2021,2022,2023,2024",False,6270,5.96042278221677,2.6082145309239775,True,,,,0.7106444261464507,0.0316227766016838,4.530983252984419,4.196817533518403,26.811247474601792,0.7856582365689887,0.43359324510518255,,,,,,,,,,,,1.703468364093889,,2.240763859555023,,-0.6801411807612526,,-0.29038507156860394,,-0.2903850715730358,1.7867531592284716,-0.7896987104139046,2.7847816347009746,,0.6991483136459515,,0.6268139676831176,,-0.17978797344673358,,-0.17978797344759898,1.7104769541438154,-1.9258216782598543,,,0.1087039365692335,,0.025557750254333374,
2026,margin,"2022,2023,2024,2025",False,3172,7.936251117592239,2.8483850666616086,True,1.769226091067623,7.050273994959143,1.1605457339712872,,,,,,,,4.341741341566347,,2.32670461234428,,-0.29222772415163256,,-0.48987331262039846,,-0.4898733126217022,4.120270949401367,-3.307888699042841,,,,,,,,,,,,,,,,,,,,,,,0.0015418803861996814,,,,,
2026,points,"2022,2023,2024,2025",False,6344,5.816717778580873,2.8930996898161756,True,,,,0.7222947738036561,1.107199826719778,4.490380230179183,4.179875074562516,26.73992985706485,0.9050012049523337,0.25901708704949383,,,,,,,,,,,,1.4320271008727632,,2.0369782299115613,,-0.784786156299704,,-0.29327576019218266,,-0.2932757601908415,2.3516234484360194,-1.7402773017815942,2.8879149941297197,,0.1981398523575424,,0.45528041054150675,,-0.19278653666117015,,-0.19278653665898357,1.761206405807481,-1.640624986065876,,,0.09226452665363867,,-0.06365597819562833,
