player_name,team_name,position,defensive_runs_saved,framing_runs_saved,pitches_framed,stolen_base_runs,pickoff_runs,throwing_runs,blocking_runs,infield_gb_runs,bunt_runs,double_play_runs_start,double_play_runs_pivot,infield_fb_runs,outfield_fb_runs,outfield_arm_runs
Zack Thompson,Gardner-Webb,C,4.02,3.24,775,0.25,0,0.25,0.36,0,0.08,0,0.09,0,0,0
Owen Turner,Yale,C,4.01,-1.43,485,-0.51,0,-0.51,4.87,0.1,1,-0.02,0,0,0,0
Martin Howell,Dayton,C,3.98,2.84,154,0.2,0,0.2,0.85,0,0,0,0.1,0,0,0
Colton Bower,Washington,C,3.97,2.93,410,0.22,0.31,0.53,0.71,-0.2,0,0,0,0.01,0,0
Niko Lombardi,Cal State Fullerton,C,3.97,0.04,501,0,0.31,0.31,3.05,0.1,0.5,0,-0.02,0,0,0
Gio Melchione,Akron,C,3.91,1.39,430,-0.88,0.88,0,2.13,0,0.4,0,-0.01,0,0,0
Mason Wray,Northwestern State,C,3.9,2.66,233,-0.13,0.82,0.69,0.41,0,0,0,0.14,0,0,0
Brendan Brock,Oklahoma,C,3.87,2.94,698,0.21,-0.31,-0.1,0.93,0.13,0,0,-0.03,0,0,0
Elie Kligman,Michigan,C,3.85,1.61,319,0.37,-0.18,0.19,1.99,0,0.06,0,0,0,0,0
Trey Wells,Rutgers,C,3.83,1.12,666,0.61,0,0.61,1.19,0,0.81,0,0.1,0,0,0
Colin Hynek,North Carolina,C,3.8,0.37,697,0.34,0,0.34,2.99,0,0,0,0.11,0,0,0
Justin Ruiz,High Point,C,3.77,2.12,688,0.75,0,0.75,0.73,0.1,0.07,0,-0.01,0,0,0
RJ Rickabaugh,Richmond,C,3.77,3.14,640,0.66,0.56,1.22,-0.72,0.13,0.02,0,-0.02,0,0,0
Jacob Jarrell,Clemson,C,3.76,0.55,837,0.25,0.88,1.13,3.01,-0.33,-0.61,0,0,0.01,0,0
Ethan Swidler,Washington,C,3.67,1.22,801,-0.08,0,-0.08,2.62,0,0.32,0,-0.03,-0.38,0,0
Blake Herman,Canisius,C,3.67,3.12,189,0.09,0,0.09,0.43,0.03,0,0,-0.01,0.01,0,0
Matthew Delgado,Iowa,C,3.6,2.62,298,0.07,0,0.07,0.86,0.22,-0.16,0,0,0,0,0
Jhett Creel,Stephen F. Austin,C,3.59,-0.34,662,-0.52,0.31,-0.21,3.69,0.31,0.14,0,0,0,0,0
Kevin Milewski,Mississippi State,C,3.59,-1.8,956,0.18,0.56,0.74,4.66,0,0,0,0,0,0,0
Diego Pena,Western Michigan,C,3.57,2.82,170,-0.39,0,-0.39,1.87,0,-0.72,0,-0.01,0,0,0
Sean White,Georgia Southern,C,3.55,1.28,501,0.57,0,0.57,0.79,0.14,0.77,0,0,0,0,0
Ayden Garcia,UNLV,C,3.54,-0.6,587,-0.06,1.33,1.27,2.11,0.04,0.74,0,-0.01,0,0,0
Connor Capece,Creighton,C,3.52,1.14,1060,0.92,0,0.92,2.26,-0.54,-0.22,-0.02,-0.02,0,0,0
AJ Goytia,Texas Tech,C,3.51,1.39,178,0.08,0,0.08,1.99,0.09,0,0,-0.03,0,0,0
Gunnar Johnson,Boston College,C,3.51,-0.99,732,0.45,0.48,0.93,3.32,0.26,0,-0.01,0,0,0,0
